uid,user,lan,lon,type,amenity,name,street,housenumber
5553,dkt,30.2582707,120.1265205,node,pub,1944,null,null
430804,nonlilnear,30.2645523,120.1288034,node,pub,玛雅酒吧 Maya Pub,null,null
5553,dkt,30.2523725,120.1740049,node,pub,Shamrock,null,null
49873,TooM,30.2197661,120.1287015,node,parking,null,null,null
360397,DAJIBA,30.2712537,120.1358874,node,cafe,星巴克咖啡 Starbucks,null,null
722137,OSMF Redaction Account,30.2375817,120.1514595,node,restaurant,Indian Kitchen,null,null
13721,wangchun,30.2951022,120.1369621,node,fuel,中国石化,null,null
13721,wangchun,30.2820629,120.1758285,node,fuel,中国石化,null,null
5553,dkt,30.2626881,120.1272816,node,pub,You To,null,null
2607646,AUV,30.253016,120.1584516,node,cafe,星巴克咖啡 Starbucks,null,null
360397,DAJIBA,30.2565553,120.1573406,node,cafe,星巴克咖啡 Starbucks,null,null
421932,pav5000,30.2640357,120.1547109,node,restaurant,新白鹿酒店 New White Deer Restaurant,null,null
360397,DAJIBA,30.2551306,120.1584024,node,fast_food,麦当劳 McDonald's,null,null
360397,DAJIBA,30.2565905,120.1597236,node,fast_food,肯德基 KFC,null,null
2607646,AUV,30.2562567,120.1589358,node,fast_food,肯德基 KFC,null,null
190389,HHCacher,30.2668944,120.1307664,node,fast_food,麦当劳 McDonald's,null,null
13721,wangchun,30.2790694,120.1207813,node,fast_food,肯德基,null,null
2844717,CongoMan,30.260053,120.1653486,node,restaurant,川味观,null,null
13721,wangchun,30.2626822,120.0865781,node,bus_station,杭州长途汽车西站,null,null
360397,DAJIBA,30.2721677,120.1582161,node,fast_food,麦当劳 McDonald's,null,null
5553,dkt,30.1916823,120.082629,node,parking,null,null,null
3450290,ff5722,30.0478631,119.9741271,node,ferry_terminal,null,null,null
49873,TooM,30.2685813,120.1400162,node,pub,7号酒吧,null,null
360397,DAJIBA,30.2546361,120.1580594,node,pub,Barossa,null,null
49873,TooM,30.319253,120.1081926,node,bus_station,杭州长途汽车北站,null,null
5553,dkt,30.221702,120.146699,node,pub,Tent Bar,null,null
5553,dkt,30.2713297,120.1314145,node,nightclub,SOS,null,null
13721,wangchun,30.2721603,120.1575123,node,cafe,星巴克咖啡,null,null
2607646,AUV,30.2609736,120.1676055,node,cafe,星巴克咖啡,null,null
190389,HHCacher,30.2601817,120.156978,node,fast_food,必胜客 Pizza Hut,null,null
5553,dkt,30.260095,120.164483,node,nightclub,G+,null,null
13721,wangchun,30.2599935,120.1548014,node,nightclub,百度,null,null
